Panel C: First-to-Second Year Retention,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,Model1,Model2,Model3,Model4,Model5,Model6
                                        ,b/se,b/se,b/se,b/se,b/se,b/se
First-to-Second Year Retention          ,,,,,,
Constant                                ,2.656***,2.683***,2.724***,2.877***,2.875***,3.946***
                                        ,(0.058),(0.058),(0.058),(0.070),(0.073),(0.243)
SAT_TOTAL (standardized)                ,0.277***,,0.205***,0.140***,0.141***,-0.016
                                        ,(0.027),,(0.029),(0.032),(0.032),(0.046)
Test Optional Status                    ,-0.408***,,-0.367***,-0.289***,-0.290***,-0.156
                                        ,(0.064),,(0.065),(0.067),(0.067),(0.085)
Cohort Year=2017                        ,0.000,0.000,0.000,0.000,0.000,0.000
                                        ,(.),(.),(.),(.),(.),(.)
Cohort Year=2018                        ,-0.089,-0.112,-0.107,-0.109,-0.110,-0.214*
                                        ,(0.071),(0.072),(0.072),(0.073),(0.073),(0.090)
Cohort Year=2021                        ,-0.033,-0.289***,-0.101,-0.134,-0.133,-0.327**
                                        ,(0.080),(0.070),(0.081),(0.082),(0.082),(0.101)
Cohort Year=2022                        ,0.048,-0.209**,-0.033,-0.015,-0.017,-0.132
                                        ,(0.078),(0.070),(0.080),(0.081),(0.081),(0.100)
SAS                                     ,0.000,0.000,0.000,0.000,0.000,0.000
                                        ,(.),(.),(.),(.),(.),(.)
MGSA                                    ,0.049,0.093,0.167,0.284*,0.284*,0.410
                                        ,(0.136),(0.139),(0.141),(0.144),(0.144),(0.209)
SEBS                                    ,-0.170*,-0.236**,-0.173*,-0.197**,-0.198**,-0.226*
                                        ,(0.074),(0.075),(0.075),(0.076),(0.076),(0.093)
SOE                                     ,-0.311***,-0.241***,-0.352***,-0.310***,-0.313***,-0.348***
                                        ,(0.068),(0.067),(0.069),(0.071),(0.071),(0.084)
NURS-NK                                 ,0.194,-0.004,0.122,0.118,0.129,0.270
                                        ,(0.279),(0.282),(0.281),(0.281),(0.282),(0.367)
PHARM                                   ,0.358*,0.304,0.161,0.199,0.191,0.407
                                        ,(0.164),(0.164),(0.166),(0.165),(0.166),(0.236)
RBS-NB                                  ,0.291***,0.353***,0.253**,0.296***,0.294***,0.204*
                                        ,(0.084),(0.084),(0.085),(0.086),(0.086),(0.104)
NURS-NB                                 ,1.217***,1.128***,1.121***,1.177***,1.176***,1.278**
                                        ,(0.321),(0.338),(0.338),(0.338),(0.338),(0.450)
High School GPA (standardized)          ,,0.335***,0.283***,0.226***,0.227***,0.499***
                                        ,,(0.024),(0.026),(0.026),(0.026),(0.037)
Underrepresented Minority               ,,,,-0.362***,,
                                        ,,,,(0.056),,
Pell Recipient                          ,,,,-0.017,,
                                        ,,,,(0.059),,
Female                                  ,,,,0.197***,,
                                        ,,,,(0.051),,
First Generation Student                ,,,,-0.208***,-0.205***,-0.103
                                        ,,,,(0.059),(0.060),(0.073)
NJ                                      ,,,,0.000,0.000,0.000
                                        ,,,,(.),(.),(.)
OOS                                     ,,,,-0.999***,-0.999***,-1.167**
                                        ,,,,(0.069),(0.069),(0.361)
Not URM                                 ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM                                     ,,,,,-0.302**,-0.284*
                                        ,,,,,(0.099),(0.120)
Not Pell Recipient                      ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient                          ,,,,,-0.103,-0.116
                                        ,,,,,(0.094),(0.110)
Not URM # Not Pell Recipient            ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient                ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient                ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient                    ,,,,,0.095,0.329
                                        ,,,,,(0.156),(0.193)
Male                                    ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Female                                  ,,,,,0.201**,0.023
                                        ,,,,,(0.070),(0.086)
Not URM # Male                          ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Female                        ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Male                              ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Female                            ,,,,,-0.102,0.006
                                        ,,,,,(0.139),(0.169)
Not Pell Recipient # Male               ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not Pell Recipient # Female             ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient # Male                   ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient # Female                 ,,,,,0.205,0.494**
                                        ,,,,,(0.137),(0.166)
Not URM # Not Pell Recipient # Male     ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Not Pell Recipient # Female   ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient # Male         ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient # Female       ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient # Male         ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient # Female       ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient # Male             ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient # Female           ,,,,,-0.236,-0.526
                                        ,,,,,(0.218),(0.271)
310000                                  ,,,,,,-0.756
                                        ,,,,,,(0.579)
310001                                  ,,,,,,0.410
                                        ,,,,,,(1.036)
310005                                  ,,,,,,-1.470***
                                        ,,,,,,(0.407)
310012                                  ,,,,,,-0.548
                                        ,,,,,,(1.066)
310030                                  ,,,,,,-1.549***
                                        ,,,,,,(0.403)
310050                                  ,,,,,,-0.706
                                        ,,,,,,(0.413)
310057                                  ,,,,,,-1.374*
                                        ,,,,,,(0.586)
310060                                  ,,,,,,-1.123*
                                        ,,,,,,(0.453)
310072                                  ,,,,,,-2.905***
                                        ,,,,,,(0.457)
310073                                  ,,,,,,0.161
                                        ,,,,,,(0.449)
310075                                  ,,,,,,-1.215
                                        ,,,,,,(0.660)
310082                                  ,,,,,,-1.592***
                                        ,,,,,,(0.482)
