Panel A: First-Year College GPA,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,Model1,Model2,Model3,Model4,Model5,Model6
                                        ,b/se,b/se,b/se,b/se,b/se,b/se
Constant                                ,3.164***,3.171***,3.179***,3.208***,3.206***,3.255***
                                        ,(0.008),(0.008),(0.008),(0.009),(0.010),(0.024)
SAT_TOTAL (standardized)                ,0.209***,,0.134***,0.113***,0.113***,0.057***
                                        ,(0.004),,(0.004),(0.005),(0.005),(0.006)
Test Optional Status                    ,-0.181***,,-0.121***,-0.098***,-0.097***,-0.037**
                                        ,(0.011),,(0.010),(0.010),(0.010),(0.011)
Cohort Year=2017                        ,0.000,0.000,0.000,0.000,0.000,0.000
                                        ,(.),(.),(.),(.),(.),(.)
Cohort Year=2018                        ,-0.044***,-0.058***,-0.052***,-0.052***,-0.051***,-0.042***
                                        ,(0.011),(0.010),(0.010),(0.010),(0.010),(0.011)
Cohort Year=2021                        ,0.100***,-0.033**,0.027*,0.018,0.018,-0.013
                                        ,(0.012),(0.010),(0.011),(0.011),(0.011),(0.012)
Cohort Year=2022                        ,0.129***,-0.021*,0.032**,0.025*,0.026*,-0.013
                                        ,(0.011),(0.010),(0.011),(0.011),(0.011),(0.012)
SAS                                     ,0.000,0.000,0.000,0.000,0.000,0.000
                                        ,(.),(.),(.),(.),(.),(.)
MGSA                                    ,0.406***,0.444***,0.487***,0.467***,0.467***,0.477***
                                        ,(0.019),(0.017),(0.018),(0.018),(0.018),(0.023)
SEBS                                    ,-0.088***,-0.116***,-0.076***,-0.079***,-0.078***,-0.054***
                                        ,(0.013),(0.013),(0.013),(0.013),(0.013),(0.014)
SOE                                     ,-0.291***,-0.246***,-0.303***,-0.292***,-0.293***,-0.287***
                                        ,(0.013),(0.012),(0.012),(0.012),(0.012),(0.012)
NURS-NK                                 ,0.468***,0.345***,0.418***,0.463***,0.465***,0.501***
                                        ,(0.035),(0.033),(0.033),(0.033),(0.033),(0.038)
PHARM                                   ,-0.043*,-0.094***,-0.173***,-0.175***,-0.175***,-0.164***
                                        ,(0.019),(0.018),(0.017),(0.017),(0.017),(0.018)
RBS-NB                                  ,0.052***,0.095***,0.038***,0.037***,0.037***,0.038***
                                        ,(0.011),(0.010),(0.010),(0.010),(0.010),(0.010)
NURS-NB                                 ,0.109***,-0.031,-0.032,-0.043*,-0.045*,-0.005
                                        ,(0.023),(0.022),(0.021),(0.021),(0.021),(0.022)
High School GPA (standardized)          ,,0.302***,0.263***,0.262***,0.263***,0.360***
                                        ,,(0.004),(0.005),(0.005),(0.005),(0.006)
Underrepresented Minority               ,,,,-0.065***,,
                                        ,,,,(0.010),,
Pell Recipient                          ,,,,-0.072***,,
                                        ,,,,(0.009),,
Female                                  ,,,,0.035***,,
                                        ,,,,(0.008),,
First Generation Student                ,,,,-0.049***,-0.049***,-0.011
                                        ,,,,(0.009),(0.009),(0.010)
NJ                                      ,,,,0.000,0.000,0.000
                                        ,,,,(.),(.),(.)
OOS                                     ,,,,0.019,0.019,0.070
                                        ,,,,(0.013),(0.013),(0.080)
Not URM                                 ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM                                     ,,,,,-0.073***,-0.011
                                        ,,,,,(0.018),(0.020)
Not Pell Recipient                      ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient                          ,,,,,-0.062***,-0.024
                                        ,,,,,(0.015),(0.016)
Not URM # Not Pell Recipient            ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient                ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient                ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient                    ,,,,,0.015,0.014
                                        ,,,,,(0.030),(0.034)
Male                                    ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Female                                  ,,,,,0.042***,0.004
                                        ,,,,,(0.009),(0.009)
Not URM # Male                          ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Female                        ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Male                              ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Female                            ,,,,,-0.006,0.017
                                        ,,,,,(0.023),(0.026)
Not Pell Recipient # Male               ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not Pell Recipient # Female             ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient # Male                   ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient # Female                 ,,,,,-0.034,-0.034
                                        ,,,,,(0.020),(0.021)
Not URM # Not Pell Recipient # Male     ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Not Pell Recipient # Female   ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient # Male         ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient # Female       ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient # Male         ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient # Female       ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient # Male             ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient # Female           ,,,,,0.024,0.028
                                        ,,,,,(0.039),(0.043)
310000                                  ,,,,,,0.151*
                                        ,,,,,,(0.067)
310001                                  ,,,,,,0.023
                                        ,,,,,,(0.102)
310005                                  ,,,,,,0.056
                                        ,,,,,,(0.052)
310012                                  ,,,,,,-0.288***
                                        ,,,,,,(0.082)
310030                                  ,,,,,,-0.400***
                                        ,,,,,,(0.073)
310050                                  ,,,,,,0.124*
                                        ,,,,,,(0.051)
310057                                  ,,,,,,-0.152
                                        ,,,,,,(0.106)
310060                                  ,,,,,,-0.181**
                                        ,,,,,,(0.069)
310072                                  ,,,,,,-0.407***
                                        ,,,,,,(0.112)
310073                                  ,,,,,,0.100**
                                        ,,,,,,(0.035)
310075                                  ,,,,,,-0.438***
                                        ,,,,,,(0.115)
310082                                  ,,,,,,-0.177*
                                        ,,,,,,(0.084)
310090                                  ,,,,,,-0.252***
