Panel B: Percentage of Completed First-Year Credits,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
                                        ,Model1,Model2,Model3,Model4,Model5,Model6
                                        ,b/se,b/se,b/se,b/se,b/se,b/se
Constant                                ,0.920***,0.923***,0.923***,0.933***,0.932***,0.945***
                                        ,(0.002),(0.002),(0.002),(0.002),(0.003),(0.006)
SAT_TOTAL (standardized)                ,0.025***,,0.012***,0.006***,0.006***,-0.005***
                                        ,(0.001),,(0.001),(0.001),(0.001),(0.002)
Test Optional Status                    ,-0.041***,,-0.031***,-0.024***,-0.024***,-0.012***
                                        ,(0.003),,(0.003),(0.003),(0.003),(0.003)
Cohort Year=2017                        ,0.000,0.000,0.000,0.000,0.000,0.000
                                        ,(.),(.),(.),(.),(.),(.)
Cohort Year=2018                        ,-0.014***,-0.016***,-0.015***,-0.015***,-0.015***,-0.014***
                                        ,(0.003),(0.003),(0.003),(0.003),(0.003),(0.003)
Cohort Year=2021                        ,-0.012***,-0.040***,-0.024***,-0.027***,-0.027***,-0.031***
                                        ,(0.003),(0.003),(0.003),(0.003),(0.003),(0.003)
Cohort Year=2022                        ,-0.005,-0.036***,-0.021***,-0.023***,-0.023***,-0.029***
                                        ,(0.003),(0.003),(0.003),(0.003),(0.003),(0.003)
SAS                                     ,0.000,0.000,0.000,0.000,0.000,0.000
                                        ,(.),(.),(.),(.),(.),(.)
MGSA                                    ,0.059***,0.070***,0.074***,0.071***,0.071***,0.065***
                                        ,(0.005),(0.005),(0.005),(0.005),(0.005),(0.006)
SEBS                                    ,-0.024***,-0.027***,-0.023***,-0.023***,-0.023***,-0.019***
                                        ,(0.004),(0.004),(0.004),(0.004),(0.004),(0.004)
SOE                                     ,-0.019***,-0.015***,-0.021***,-0.019***,-0.019***,-0.020***
                                        ,(0.003),(0.003),(0.003),(0.003),(0.003),(0.003)
NURS-NK                                 ,0.096***,0.076***,0.087***,0.098***,0.098***,0.108***
                                        ,(0.007),(0.008),(0.008),(0.008),(0.008),(0.008)
PHARM                                   ,0.031***,0.016***,0.008*,0.008*,0.008,0.006
                                        ,(0.004),(0.004),(0.004),(0.004),(0.004),(0.004)
RBS-NB                                  ,0.022***,0.025***,0.020***,0.019***,0.019***,0.017***
                                        ,(0.003),(0.003),(0.003),(0.003),(0.003),(0.003)
NURS-NB                                 ,0.069***,0.043***,0.044***,0.043***,0.043***,0.040***
                                        ,(0.005),(0.005),(0.005),(0.005),(0.005),(0.005)
High School GPA (standardized)          ,,0.050***,0.046***,0.046***,0.046***,0.064***
                                        ,,(0.001),(0.001),(0.001),(0.001),(0.002)
Underrepresented Minority               ,,,,-0.020***,,
                                        ,,,,(0.003),,
Pell Recipient                          ,,,,-0.014***,,
                                        ,,,,(0.003),,
Female                                  ,,,,0.005**,,
                                        ,,,,(0.002),,
First Generation Student                ,,,,-0.013***,-0.013***,-0.004
                                        ,,,,(0.003),(0.003),(0.003)
NJ                                      ,,,,0.000,0.000,0.000
                                        ,,,,(.),(.),(.)
OOS                                     ,,,,-0.006,-0.006,-0.013
                                        ,,,,(0.004),(0.004),(0.024)
Not URM                                 ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM                                     ,,,,,-0.017**,-0.003
                                        ,,,,,(0.005),(0.006)
Not Pell Recipient                      ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient                          ,,,,,-0.011**,-0.004
                                        ,,,,,(0.004),(0.004)
Not URM # Not Pell Recipient            ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient                ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient                ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient                    ,,,,,-0.004,-0.002
                                        ,,,,,(0.009),(0.010)
Male                                    ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Female                                  ,,,,,0.007**,-0.000
                                        ,,,,,(0.002),(0.003)
Not URM # Male                          ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Female                        ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Male                              ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Female                            ,,,,,-0.005,-0.001
                                        ,,,,,(0.007),(0.007)
Not Pell Recipient # Male               ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not Pell Recipient # Female             ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient # Male                   ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Pell Recipient # Female                 ,,,,,-0.004,-0.004
                                        ,,,,,(0.005),(0.006)
Not URM # Not Pell Recipient # Male     ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Not Pell Recipient # Female   ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient # Male         ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
Not URM # Pell Recipient # Female       ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient # Male         ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Not Pell Recipient # Female       ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient # Male             ,,,,,0.000,0.000
                                        ,,,,,(.),(.)
URM # Pell Recipient # Female           ,,,,,0.007,0.007
                                        ,,,,,(0.011),(0.012)
310000                                  ,,,,,,0.031
                                        ,,,,,,(0.021)
310001                                  ,,,,,,-0.002
                                        ,,,,,,(0.025)
310005                                  ,,,,,,-0.005
                                        ,,,,,,(0.016)
310012                                  ,,,,,,-0.045*
                                        ,,,,,,(0.021)
310030                                  ,,,,,,-0.108***
                                        ,,,,,,(0.020)
310050                                  ,,,,,,0.022
                                        ,,,,,,(0.014)
310057                                  ,,,,,,-0.051
                                        ,,,,,,(0.033)
310060                                  ,,,,,,-0.050*
                                        ,,,,,,(0.019)
310072                                  ,,,,,,-0.085*
                                        ,,,,,,(0.035)
310073                                  ,,,,,,0.025**
                                        ,,,,,,(0.009)
310075                                  ,,,,,,-0.111**
                                        ,,,,,,(0.034)
310082                                  ,,,,,,-0.060*
                                        ,,,,,,(0.028)
